location,property_area,street,features,bed,bath,toilet,description,price
ajah,abijo,Warike Abijo Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Nice 2Bedroom Flat Upstairs Pay And Park In Within Abijo Warike With PVC Finishing Rent:600k,600000.0
ajah,abijo,fidiso estateAbijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,C of o,600000.0
ajah,abijo,"Abijo junction, blue compexAbijo Ajah Lagos",3 beds 4 baths 4 Toilets,3,4,4,Newly built 3 bed room apartment available at abijo,900000.0
ajah,abijo,Casia EstateAbijo Ajah Lagos,4 beds 5 baths 5 Toilets,4,5,5,"4 Bedroom Duplex,..inside a Gated Estate good environ..",1300000.0
ajah,abijo,Abijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Three bedroom flat for rent.,800000.0
ajah,abijo,Fidiso estateAbijo Ajah Lagos,2 beds 1 baths 2 Toilets,2,1,2,Two bedroom apartment for rent,900000.0
ajah,abijo,Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Two bedroom apartment for rent.,900000.0
ajah,abijo,"GRA bus stop, IbejuAbijo Ajah Lagos",1 beds 1 baths 1 Toilets,1,1,1,Newly built miniflat upstairs,450000.0
ajah,abijo,Abijo Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2,2 Bedroom Flat For Rent In Abijo 4MAY58,800000.0
ajah,abijo,Destiny homeAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,A room and Parlour with kitchen big and toilet big for rent.,600000.0
ajah,abijo,Abijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 Bedroom Flat For Rent In Abijo 28APR54,700000.0
ajah,abijo,Fidisco estateAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,2,0,0,2 bedroom mini flat,550000.0
ajah,abijo,Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Newly built miniflat,450000.0
ajah,abijo,ABIJO GRAAbijo Ajah Lagos,4 beds 0 baths 0 Toilets,4,0,0,4 BEDROOM SEMI DETACHED DUPLEX,1500000.0
ajah,abijo,MajekAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Shared apartment,200000.0
ajah,abijo,2 Minutes Drive After Novare Shoprite Abijo Ajah Lagos,2 beds 0 baths 0 Toilets,2,0,0,2 bedroom flat,600000.0
ajah,abijo,GRAAbijo Ajah Lagos,1 beds 0 baths 0 Toilets,1,0,0,Newly built miniflat,350000.0
ajah,abijo,GRAAbijo Ajah Lagos,1 beds 0 baths 0 Toilets,1,0,0,Mini flat with 2 toilets,300000.0
ajah,abijo,behind Abijo GRAAbijo Ajah Lagos,3 beds 0 baths 0 Toilets,3,0,0,3 bedroom flat,550000.0
ajah,abijo,"Opposite destiny home, beside NNPC filling station, close to the roadAbijo Ajah Lagos",1 beds 1 baths 1 Toilets,1,1,1,"A room and parlor, mini flat",350000.0
ajah,abijo,In an Estate before Abijo after Crown Estate in Ajah axis Lekki. Abijo Ajah Lagos,1 beds 2 baths 2 Toilets,1,2,2,A Very Fine Mini Flat For Rent in an Estate before Abijo after Crown Estate in Ajah axis Lekki.,450000.0
ajah,abijo,Abijo Ajah Lagos,3 beds 4 baths 4 Toilets,3,4,4,A VERY LOVELY 3bedroom flat a 2 minute walk from the estate gate with four persons in the compound,1100000.0
ajah,abijo,Abijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,Brand new mini flat at abijo,450000.0
ajah,abijo,abijoAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,beautifully designed 3bedeoom bungalow,1000000.0
ajah,abijo,abijoAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,beautifully built 3 bedroom bungalow,1000000.0
ajah,abijo,AbijoAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,2 bedroom bungalow for rent at abijo,500000.0
ajah,abijo,Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,2 bedroom flat,500000.0
ajah,abijo,Olive garden estate.Abijo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,Newly built 2 bedroom flats,650000.0
ajah,abijo,kanmi oyegunle laneAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,Newley built 3bedroom,1000000.0
ajah,abijo,majekAbijo Ajah Lagos,3 beds 4 baths 4 Toilets,3,4,4,NEWLY BUILT SPACIOUS 3 BEDROOM FLAT (EN SUITE),750000.0
ajah,abijo,"Majeck, Sangotedo, Abijo Ajah Lagos",3 beds 3 baths 3 Toilets,3,3,3,3 Bedroom Flat,900000.0
ajah,abijo,"Destiny home, abijo lekki epe express wayAbijo Ajah Lagos",2 beds 4 baths Toilets,2,4,0,Newly built 2 Bedroom Duplex,700000.0
ajah,abijo,The estate Opposite Rain oilAbijo Ajah Lagos,3 beds 4 baths 4 Toilets,3,4,4,"3 bedroom flat for rent in Abijo, few mins from the express (Kw467)",500000.0
ajah,abijo,Destiny Home EstateAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini-Flat-for-Rent-in-Abijo (Kw292),400000.0
ajah,abijo,Destiny homes estate abijoAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 bedroom for rent,700000.0
ajah,abijo,AbijoAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,Executive 2 bedroom apartment,600000.0
ajah,abijo,AbijoAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,Nice 2 bedroom bungalow for rent at abijo,500000.0
ajah,abijo,GRAAbijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Newly built luxury 2bedroom flat,1000000.0
ajah,abijo,Fidiso Estate Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Room snd Parlour For Rent,350000.0
ajah,abijo,Blue house streetAbijo Ajah Lagos,3 beds 3 baths 2 Toilets,3,3,2,Newly built 2 bedroom and a parlour,450000.0
ajah,abijo,Blue house streetAbijo Ajah Lagos,2 beds 1 baths 2 Toilets,2,1,2,Newly built 1 bedroom and parlour,300000.0
ajah,abijo,Destiny homes abijo Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,A very nice 2 bedroom flat in a very nice environment in a good neighbourhood,600000.0
ajah,abijo,AbijoAbijo Ajah Lagos,3 beds 2 baths 2 Toilets,3,2,2,Brand New 3 Bedroom Flat,700000.0
ajah,abijo,"4 Itobore Khalin Drive, Majek Bus-Stop, Opposite Fara Park, LekkiAbijo Ajah Lagos",3 beds 3 baths 4 Toilets,3,3,4,"3 bedroom luxury serviced apartment in Abijo,Opposite Fara Park",800000.0
ajah,abijo,around Fidiso EstateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom apartment,1000000.0
ajah,abijo,around fidiso estateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom flat,1000000.0
ajah,abijo,AbijoAbijo Ajah Lagos,2 beds 1 baths 2 Toilets,2,1,2,Mini flat,300000.0
ajah,abijo,"Opposite coronna school, abijo Abijo Ajah Lagos",1 beds 1 baths 2 Toilets,1,1,2,Newly built mini flat,500000.0
ajah,abijo,road3Abijo Ajah Lagos,1 beds 2 baths 1 Toilets,1,2,1,brand new mini flat,370000.0
ajah,abijo,road 2Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,brand new 2bedroom,550000.0
ajah,abijo,road 5Abijo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,luxury 2bedroom flat,550000.0
ajah,abijo,michael angelo street laboraAbijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,brand new 2 bedroom flat,600000.0
ajah,abijo,Destiny homesAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom flat with all rooms ensuit in a gated and secured estate in a good neighbourhood,900000.0
ajah,abijo,destiny homesAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,brand new 3 bedroom flat,1200000.0
ajah,abijo,Destiny homesAbijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,Luxury miniflat in a very nice environment in good neighbourhood,300000.0
ajah,abijo,samson ayejuro fidisoAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,brand new 3 bedroom flat,1000000.0
ajah,abijo,-Abijo Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,Large Sized 4 Bedroom Terrace Duplex,1500000.0
ajah,abijo,Fidiso Estate;Abijo Ajah Lagos,1 beds 1 baths Toilets,1,1,0,Well renovated 1 bedroom mini flat,400000.0
ajah,abijo,Abijo GRAAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,1 bedroom flat,300000.0
ajah,abijo,-Abijo Ajah Lagos,2 beds 2 baths Toilets,2,2,0,2 bedroom flat,600000.0
ajah,abijo,GRAAbijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,Mini flat,400000.0
ajah,abijo,Destiny Home EstateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Brand New 3 Bedroom Apartment in ajah,1000000.0
ajah,abijo,Sunday Ejiofor StreetAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,New Executive 3 Bedrooms Suite Apartment in abijo,800000.0
ajah,abijo,AbijoAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 Bedroom Flat,700000.0
ajah,abijo,-Abijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 Bedroom Flat,750000.0
ajah,abijo,AjahAbijo Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,4 Bedrooms Duplex,2500000.0
ajah,abijo,omesia streetAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,brand new mini flat,450000.0
ajah,abijo,Fidiso estateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom flat,900000.0
ajah,abijo,Fidiso eatateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom flat,1200000.0
ajah,abijo,Labora Abijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,A Block of 8 No of 3 bedroom flat,500000.0
ajah,abijo,road 3Abijo Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2,luxurious 2 bedroom flat,650000.0
ajah,abijo,destiny homesAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Decent Mini flat,280000.0
ajah,abijo,lane 2Abijo Ajah Lagos,1 beds 2 baths 1 Toilets,1,2,1,Decent Mini flat,450000.0
ajah,abijo,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini flat,500000.0
ajah,abijo,5Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Brand-new mini flat,300000.0
ajah,abijo,off lekki epe expresswayAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,newly built and spacious miniflat,350000.0
ajah,abijo,AbijoAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,2,0,0,2 bedroom flat,600000.0
ajah,abijo,Abijo GRAAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,2,0,0,2 bedroom flat,350000.0
ajah,abijo,Destiny Homes EstateAbijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,1 bedroom flat,400000.0
ajah,abijo,John Agosi streetAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Newly renovated 3 bedroom flat in Majek Abijo Ajah,900000.0
ajah,abijo,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini flat,350000.0
ajah,abijo,GRAAbijo Ajah Lagos,3 beds 2 baths 3 Toilets,3,2,3,3 bedroom flat,700000.0
ajah,abijo,lane 3Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Room self-contain,150000.0
ajah,abijo,Destiny estate Abijo Ajah Lagos,3 beds 2 baths 2 Toilets,3,2,2,A 3 Bedroom Flat,450000.0
ajah,abijo,Kingdom Hall Abijo Ajah Lagos,1 beds 2 baths 2 Toilets,1,2,2,Mini flat,400000.0
ajah,abijo,Olanrewaju laneAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,A LOVELY 3 BEDROOM FLAT,900000.0
ajah,abijo,Destiny HomesAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 Bed Room Flat,850000.0
ajah,abijo,-Abijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 bedroom flat,600000.0
ajah,abijo,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini Flat,300000.0
ajah,abijo,-Abijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,A ROOM SELF-CONTAIN,270000.0
ajah,abijo,Chois Garden(Shell Co opertive Quarter)Abijo Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,4 Bedroom detached house in ajah,1300000.0
ajah,abijo,Destiny homesAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,2 bedroom flat,600000.0
ajah,abijo,Destiny Home EstateAbijo Ajah Lagos,3 beds 0 baths 0 Toilets,3,0,0,Brand new 3 bedroom flat,850000.0
ajah,abijo,Adeyinka Oni CloseAbijo Ajah Lagos,3 beds 2 baths 3 Toilets,3,2,3,A luxury 3 bedroom Apartment,700000.0
ajah,abijo,AbijoAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,2,0,0,2 bedroom flat (Upstairs),450000.0
ajah,abijo,AbijoAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,2,0,0,2 bedroom flat,450000.0
ajah,abijo,Abijo TownAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini flat,400000.0
ajah,abijo,Amity EstateAbijo Ajah Lagos,4 beds 4 baths 4 Toilets,4,4,4,New 4 Bedroom semidetached Duplex,1300000.0
ajah,abijo,Destiny homesAbijo Ajah Lagos,3 beds 2 baths 3 Toilets,3,2,3,New 3 Bedroom Flat,450000.0
ajah,abijo,Destiny homesAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,New upstair 2 bedroom flat,500000.0
ajah,abijo,Fidiso estateAbijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,2 Bedroom Bungalow Alone In A Compound,600000.0
ajah,abijo,Fidiso estateAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,Clean upstair mini flat,300000.0
ajah,abijo,GRAAbijo Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,mini flat,250000.0
ajah,abijo,"Abijo, Abijo Ajah Lagos",3 beds 3 baths 3 Toilets,3,3,3,3 bedroom flat,900000.0
ajah,abijo,"Amity estate, Abijo Ajah Lagos",2 beds 2 baths 3 Toilets,2,2,3,2 bedroom flat,600000.0
ajah,abijo,warikeAbijo Ajah Lagos,1 beds 1 baths 2 Toilets,1,1,2,mini flat,300000.0
ajah,abijo,Fidiso EstateAbijo Ajah Lagos,3 beds 2 baths 3 Toilets,3,2,3,3 bedroom bungalow,500000.0
ajah,abijo,Fidiso EstateAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 Bedroom Flat,500000.0
ajah,abijo,"16 Olayinka Olanuga Street,Abijo Ajah Lagos",3 beds 2 baths 3 Toilets,3,2,3,3 Bedroom Flat In Ajah,900000.0
ajah,abraham-adesanya-estate,Lekki scheme 2 ajah LagosAbraham Adesanya Estate Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2,2 Bedroom apartment,1000000.0
ajah,abraham-adesanya-estate,Lekki scheme 2 ajah LagosAbraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,A room self contain,400000.0
ajah,abraham-adesanya-estate,BesideAbraham Adesanya Estate Ajah Lagos,2 beds 3 baths 3 Toilets,2,3,3,2bedroom flat,1200000.0
ajah,abraham-adesanya-estate,Abraham Adesanya Estate Ajah Lagos,3 beds baths 3 Toilets,3,0,3,"Newly Renovated alone in a compound, 3Bedroom flat with BQ and security house",1300000.0
ajah,abraham-adesanya-estate,Lekki Scheme 2Abraham Adesanya Estate Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,Newly Built 4 Bedroom House,2500000.0
ajah,abraham-adesanya-estate,Scheme 2Abraham Adesanya Estate Ajah Lagos,2 beds 2 baths 3 Toilets,2,2,3,Newly built 2 bedroom flat in a beautiful location,1500000.0
ajah,abraham-adesanya-estate,...Abraham Adesanya Estate Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,4bedroom duplex plus Bq,3000000.0
ajah,abraham-adesanya-estate,Genesis Colony estateAbraham Adesanya Estate Ajah Lagos,3 beds 3 baths 4 Toilets,3,3,4,Executive luxury newly built 3 bedrooms duplex,1800000.0
ajah,abraham-adesanya-estate,LEKKI SCHEME 2 ABRAHAM ADESANYA Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1,1 BEDROOM Apartment,600000.0
ajah,abraham-adesanya-estate,IN GOOD AREA OF LEKKI SCHEME 2 BY ABRAHAM ADESANYA ESTATEAbraham Adesanya Estate Ajah Lagos,4 beds 4 baths 5 Toilets,4,4,5,NICE AND DECENT 4BEDROOM SEMIDETACHED HOUSE + BQ,3500000.0
