location,property_area,bed,street,features,bath,toilet,description,price,median_price,Maxi,Min
ajah,abijo,2,Majek Bustop opp. Lufasi ParkAbijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,A 2 BEDROOM ALL ENSUITE APARTMENT,500000.0,600000.0,650000.0,500000.0
ajah,abijo,2,Warike Abijo Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,NICE 2BEDROOM FLAT UPSTAIRS PAY AND PARK IN WITHIN ABIJO WARIKE WITH PVC FINISHING RENT:600K,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,Fidisco estateAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,0,0,2 BEDROOM MINI FLAT,550000.0,600000.0,650000.0,500000.0
ajah,abijo,2,2 Minutes Drive After Novare Shoprite Abijo Ajah Lagos,2 beds 0 baths 0 Toilets,0,0,2 BEDROOM FLAT,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,AbijoAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,2 BEDROOM BUNGALOW FOR RENT AT ABIJO,500000.0,600000.0,650000.0,500000.0
ajah,abijo,2,Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,2 BEDROOM FLAT,500000.0,600000.0,650000.0,500000.0
ajah,abijo,2,Olive garden estate.Abijo Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,NEWLY BUILT 2 BEDROOM FLATS,650000.0,600000.0,650000.0,500000.0
ajah,abijo,2,AbijoAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,EXECUTIVE 2 BEDROOM APARTMENT,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,AbijoAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,NICE 2 BEDROOM BUNGALOW FOR RENT AT ABIJO,500000.0,600000.0,650000.0,500000.0
ajah,abijo,2,Destiny homes abijo Abijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,A VERY NICE 2 BEDROOM FLAT IN A VERY NICE ENVIRONMENT IN A GOOD NEIGHBOURHOOD,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,road 5Abijo Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,LUXURY 2BEDROOM FLAT,550000.0,600000.0,650000.0,500000.0
ajah,abijo,2,michael angelo street laboraAbijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,BRAND NEW 2 BEDROOM FLAT,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,-Abijo Ajah Lagos,2 beds 2 baths Toilets,2,0,2 BEDROOM FLAT,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,road 3Abijo Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,LUXURIOUS 2 BEDROOM FLAT,650000.0,600000.0,650000.0,500000.0
ajah,abijo,2,AbijoAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,0,0,2 BEDROOM FLAT,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,Destiny homesAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,2 BEDROOM FLAT,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,AbijoAbijo Ajah Lagos,2 beds 0 baths 0 Toilets,0,0,2 BEDROOM FLAT,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,Destiny homesAbijo Ajah Lagos,2 beds 3 baths 3 Toilets,3,3,NEW UPSTAIR 2 BEDROOM FLAT,500000.0,600000.0,650000.0,500000.0
ajah,abijo,2,Fidiso estateAbijo Ajah Lagos,2 beds 2 baths 3 Toilets,2,3,2 BEDROOM BUNGALOW ALONE IN A COMPOUND,600000.0,600000.0,650000.0,500000.0
ajah,abijo,2,"Amity estate, Abijo Ajah Lagos",2 beds 2 baths 3 Toilets,2,3,2 BEDROOM FLAT,600000.0,600000.0,650000.0,500000.0
ajah,abijo,3,Abijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BEDROOM FLAT,750000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,"VICTORY VILLA, Abijo Ajah Lagos",3 beds 3 baths 3 Toilets,3,3,LUXURY 3 BEDROOM DUPLEX,1000000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,-Abijo Ajah Lagos,3 beds 0 baths 0 Toilets,0,0,3 BEDROOM FLAT UPSTAIRS,1000000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,"After Crown Estate, before Abijo, Ajah axis, Lekki. Abijo Ajah Lagos",3 beds 4 baths 4 Toilets,4,4,FINELY KEPT SPACIOUS 3 BEDROOMS FLAT IN A COOL AREA,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,"Abijo junction, blue compexAbijo Ajah Lagos",3 beds 4 baths 4 Toilets,4,4,NEWLY BUILT 3 BED ROOM APARTMENT AVAILABLE AT ABIJO,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Abijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,THREE BEDROOM FLAT FOR RENT.,800000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Abijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3 BEDROOM FLAT FOR RENT IN ABIJO 28APR54,700000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,abijoAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,BEAUTIFULLY BUILT 3 BEDROOM BUNGALOW,1000000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,majekAbijo Ajah Lagos,3 beds 4 baths 4 Toilets,4,4,NEWLY BUILT SPACIOUS 3 BEDROOM FLAT (EN SUITE),750000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,"Majeck, Sangotedo, Abijo Ajah Lagos",3 beds 3 baths 3 Toilets,3,3,3 BEDROOM FLAT,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Destiny homes estate abijoAbijo Ajah Lagos,3 beds 3 baths 3 Toilets,3,3,3 BEDROOM FOR RENT,700000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,AbijoAbijo Ajah Lagos,3 beds 2 baths 2 Toilets,2,2,BRAND NEW 3 BEDROOM FLAT,700000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,"4 Itobore Khalin Drive, Majek Bus-Stop, Opposite Fara Park, LekkiAbijo Ajah Lagos",3 beds 3 baths 4 Toilets,3,4,"3 BEDROOM LUXURY SERVICED APARTMENT IN ABIJO,OPPOSITE FARA PARK",800000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,around Fidiso EstateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BEDROOM APARTMENT,1000000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,around fidiso estateAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BEDROOM FLAT,1000000.0,850000.0,1000000.0,700000.0
